"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"POU2F2",34.4574837048717,-2.09083583348324,0.374446747778929,-5.58380022228865,2.35319006013598e-08,4.30454604096753e-07,"POU2F2"
"TMEM26",68.8289838616752,-2.08459044773757,0.272409747177144,-7.65240770324564,1.97250679497593e-14,7.51387472132692e-13,"TMEM26"
"CRB1",6.52702839145316,-2.07620675286054,0.862024352650674,-2.40852447668831,0.0160171522090312,0.0666505885686663,"CRB1"
"IL12A",36.0800634171715,-2.07117132804762,0.394051856326703,-5.25608824014886,1.47151706953502e-07,2.33807712159453e-06,"IL12A"
"CREB5",669.401293086846,-2.04665329804647,0.184209975742454,-11.1104368251365,1.11612178704882e-28,1.46790382182815e-26,"CREB5"
"INSIG1-DT",6.6022063661777,-2.03326671519585,0.825354233686427,-2.46350794871956,0.0137584844735805,0.0591224357846345,"INSIG1-DT"
"SYTL5",11.1240991177235,-2.02947985821388,0.733893961947079,-2.7653584352016,0.0056860279110688,0.0290970891512746,"SYTL5"
"SAMD12",102.12210509286,-2.02480840508215,0.258424673569648,-7.83519768880135,4.6810562099969e-15,1.92564545186585e-13,"SAMD12"
"MAP3K4-AS1",114.903469824879,-2.01735830233116,0.240117530234556,-8.40154527809998,4.40641210312383e-17,2.16925500748867e-15,"MAP3K4-AS1"
"SLC7A11-AS1",5.56382717284341,-2.0148357065083,0.89336811070524,-2.25532530472545,0.0241129174197296,0.0923022192625213,"SLC7A11-AS1"
"ANKRD45",17.9303658327553,-2.0137595946149,0.584042741395153,-3.44796613652702,0.000564824847822397,0.00407243461707241,"ANKRD45"
"CHDH",92.1114413835648,-2.00741601401991,0.263840001704129,-7.60845967652408,2.7738176670636e-14,1.041221806774e-12,"CHDH"
"RASD2",35.8449132454698,-2.00438067283172,0.455178870340037,-4.40350113645295,1.0651772568154e-05,0.000118911795621437,"RASD2"
"NA",6.53018162409117,-1.99318506403242,0.865492386817112,-2.3029492741842,0.0212816973108173,0.0835592987897812,NA
"HSD17B6",169.20409821807,-1.99290326518311,0.242715349830041,-8.21086621253506,2.19598460775794e-16,1.01195014482308e-14,"HSD17B6"
"SCD",785.211998028092,-1.99197346669252,0.194780828197428,-10.2267429763337,1.50495913632508e-24,1.45786847947878e-22,"SCD"
"NA",11.0490039239026,-1.98620523946457,0.65068329713591,-3.05249150886027,0.00226950151826647,0.0134325043266172,NA
"P2RX7",96.7567144445977,-1.98590274558648,0.260115502108413,-7.6346958543008,2.2635414576653e-14,8.56817016475073e-13,"P2RX7"
"LGI1",21.5534621417325,-1.98127300095306,0.5468761319238,-3.62289170306874,0.000291327816439518,0.00228820601421414,"LGI1"
"PSCA",14.9234356782579,-1.97126444295591,0.698778104163256,-2.82101633009292,0.00478717658963733,0.0252282386054652,"PSCA"
"NA",22.8004236186549,-1.97090268710539,0.441063359589313,-4.46852508660106,7.87607769417702e-06,9.04468883962279e-05,NA
"TRIM45",136.921586068676,-1.95839294350809,0.198390904783738,-9.87138470709075,5.53945545509369e-23,4.73032741184257e-21,"TRIM45"
"RASEF",33.6345237695309,-1.95510130500738,0.413865861053174,-4.72399752913225,2.31253226813262e-06,2.93844897088953e-05,"RASEF"
"NA",9.80830380975119,-1.95290557971613,0.762677649483321,-2.56059107152167,0.0104494271696356,0.0476773306514291,NA
"HTR2A",11.2002541034903,-1.93727202353316,0.701497277210314,-2.76162443742794,0.00575145947504276,0.0293568829522154,"HTR2A"
"NA",6.17064515852635,-1.93587570073473,0.822062144974527,-2.35490189223434,0.0185275966057614,0.0748498286194191,NA
"NA",6.17064515852635,-1.93587570073473,0.822062144974527,-2.35490189223434,0.0185275966057614,0.0748498286194191,NA
"AFAP1L2",10.2481193205968,-1.93436244210872,0.692189070475193,-2.79455790999526,0.00519707317220707,0.0270247804954768,"AFAP1L2"
"MAFB",128.229713812865,-1.93356301015136,0.337630979502379,-5.72685306603429,1.02310707842148e-08,1.96528180586335e-07,"MAFB"
"NA",11.5446252265659,-1.92675391977675,0.641150678597917,-3.0051499344744,0.0026544996180044,0.0153395683506104,NA
"CERS1",6.94701184726597,-1.91374817215156,0.770180194131376,-2.48480574641357,0.0129622144640913,0.0564683704579298,"CERS1"
"CXCL12",25136.3075719089,-1.91166968412362,0.105748085620593,-18.0775819524751,4.78614978262935e-73,4.53878140965345e-70,"CXCL12"
